"lon","lat","incl_deg","intensity_uT"
-36,12,7.977154894169374,30.787720158416562
-24,12,1.4441686078012932,31.471430869482916
-12,12,-0.5529303914444959,32.44689051514501
0,12,0.2603558679245575,33.637835469074496
12,12,2.0937921567029942,34.66536012981446
24,12,5.40259733236831,35.5034870143157
36,12,9.7777236170306,36.52466264661334
48,12,12.464229416388456,37.934614241320105
60,12,12.939892223074784,39.513766106313035
72,12,12.657559150793837,40.99119001135243
84,12,12.081216022954555,42.19771568545097
96,12,12.000693396290556,42.56336366280268
108,12,12.694462372807086,41.98413972574829
120,12,12.164561502751322,40.68554336133355
132,12,9.959489296972798,38.90885485332514
144,12,8.669416294222296,36.828188645382774
156,12,9.869999419812013,34.93525109920903
168,12,13.427194151433628,33.58873001472694
180,12,18.33252366219785,32.92688122817528
-180,18,28.14273930621138,33.623479979090014
-168,18,31.873328054345947,33.58787825496205
-156,18,34.285390012966246,33.814505460394955
-144,18,36.347749206041364,34.50167056264386
-132,18,38.64811758341003,35.65101056476405
-120,18,40.980247771891634,36.95681892063195
-108,18,43.43743124914875,38.165661855123126
-96,18,45.67703489040737,38.744140283288495
-84,18,46.144243924994626,38.43811737373352
-72,18,43.42544862930507,36.971290620465744
-60,18,37.235014966946295,35.150797795764824
-48,18,28.792076815136795,33.69072212519043
-36,18,20.80874615098997,33.25361143920949
-24,18,15.717151052687967,33.560679003904255
-12,18,14.313967357336072,34.352858104818736
0,18,15.361521494274246,35.5280974384044
12,18,17.16698326952543,36.66564422383806
24,18,19.97156808238332,37.7248149166665
36,18,23.565114470890855,38.96456650302559
48,18,25.812169814108337,40.30364775317912
60,18,26.266673850542556,41.742950953570436
72,18,26.107689259424685,43.0187174976056
84,18,25.720012088666774,44.10616998875194
96,18,25.57988846360426,44.532108274174206
108,18,25.805053626566544,44.08840798090394
120,18,24.859437118440592,42.660841385198026
132,18,22.42392965649832,40.37298918410912
144,18,20.677835369617558,37.776483872728086
156,18,21.156789707831912,35.627643646309544
168,18,23.930805811862836,34.20308073280336
180,18,28.142739308133184,33.623479977354265
-180,24,36.426767530381696,35.12765505849857
-168,24,39.59429800207766,35.17466280078924
-156,24,41.816186971512685,35.68251313923444
-144,24,43.79111284312539,36.758340778143044
-132,24,46.048648719947344,38.3305398036231
-120,24,48.40566750090911,40.08643698017264
-108,24,50.74566198188608,41.58400178913656
-96,24,52.56605917990812,42.48903671871466
-84,24,52.60445919053867,42.134633199355115
-72,24,49.9442517911784,40.65361583843014
-60,24,44.73882783217455,38.59599834080074
-48,24,38.24858783119717,36.924090293342395
-36,24,32.39279256873204,36.219719912449776
-24,24,28.67979511493253,36.27847672801974
-12,24,27.767160799817145,36.87501072689477
0,24,28.855856889270665,38.0250981213355
12,24,30.543100887232978,39.22006222781593
24,24,32.83073901241344,40.41649155823789
36,24,35.61406006784479,41.77848328603783
48,24,37.397389965388996,43.116218218680665
60,24,37.82689008016393,44.52771593821257
72,24,37.788802443391106,45.82000516920432
84,24,37.61106817050031,46.979262558924304
96,24,37.50414391589685,47.526710501043524
108,24,37.39567525189213,47.1193492229422
120,24,36.157839252360624,45.468514041062484
132,24,33.63045308931982,42.83767711734901
144,24,31.535843180153297,39.920128124274264
156,24,31.289840460986696,37.37399984184068
168,24,33.13336610917756,35.74546473287491
180,24,36.426767533492594,35.12765505779479
-180,30,43.400879646426596,37.31177501575325
-168,30,45.93056582574869,37.37482334073844
-156,30,47.9759689141232,38.10642298563109
-144,30,49.94846583789307,39.473552506005205
-132,30,52.23173705893418,41.365531562880484
-120,30,54.65316607725233,43.41667310798837
-108,30,56.95112536891763,45.085953442003174
-96,30,58.524497817147804,46.125842531020034
-84,30,58.32861451556462,45.838243810375275
-72,30,55.80530678800846,44.38439684673346
-60,30,51.45503337559219,42.210667482788914
-48,30,46.544687948355,40.38915205451329
-36,30,42.38672487545807,39.458427700979286
-24,30,39.809550506509616,39.3202115468901
-12,30,39.26349256496475,39.783805917397764
0,30,40.2829097139397,40.79881173345447
12,30,41.79850921423407,41.993898515922695
24,30,43.631725555208305,43.2085316082593
36,30,45.70218316207191,44.52888675242087
48,30,47.0815083501727,45.95383056595353
60,30,47.50471818163487,47.356267862415834
72,30,47.613854704774596,48.924371219688304
84,30,47.63535847384791,50.14482793234248
96,30,47.60796444472541,50.83956661628043
108,30,47.298772348409805,50.558133928262095
120,30,45.88243169249052,48.820406283856535
132,30,43.33515469772634,45.960857098409335
144,30,41.01364530701744,42.722983371166734
156,30,40.151680839801315,39.955710856193726
168,30,41.090275837119194,38.117024789481036
180,30,43.40087965051645,37.31177501606014
-180,36,49.43374547623302,40.13306080982382
-168,36,51.33254119688392,40.1602661034333
-156,36,53.21299992611073,41.01054010219202
-144,36,55.23438661751473,42.608914777557246
-132,36,57.57772953164616,44.6926252943878
-120,36,60.05938210747555,46.76050976505222
-108,36,62.33288916991111,48.570608061707574
-96,36,63.76926030443732,49.64483177084099
-84,36,63.48336430331717,49.39437490596671
-72,36,61.16827444254385,47.967175855966424
-60,36,57.53626227452993,45.80275361183174
